"year","af","aus","china","eu","india","nz","uk","world"
1990,4.53,32.71,2.53,10.18,1.16,13.57,13.04,6.06
1991,4.48,32.29,2.63,9.96,1.19,12.77,13.26,6.05
1992,4.41,32.03,2.71,9.59,1.21,12.88,12.84,5.81
1993,4.33,31.7,2.87,9.39,1.22,12.47,12.52,5.76
1994,4.36,31.53,2.96,9.33,1.24,12.79,12.3,5.71
1995,4.29,31.61,3.25,9.43,1.29,12.95,12.11,5.75
1996,4.18,31.18,3.25,9.67,1.31,12.89,12.42,5.8
1997,4.13,31.45,3.22,9.47,1.35,13.33,12.02,5.74
1998,4.14,32.5,3.3,9.36,1.36,12.81,11.92,5.64
1999,3.99,34.01,3.24,9.18,1.41,13.34,11.44,5.62
2000,3.86,34.56,3.37,9.16,1.42,13.3,11.44,5.64
2001,3.86,34.29,3.51,9.17,1.63,14.7,11.58,5.6
2002,3.86,33.62,3.72,9.1,1.62,14.84,11.23,5.64
2003,3.89,29.34,4.18,9.27,1.64,15.15,11.31,5.81
2004,3.85,31.57,4.73,9.23,1.69,14.6,11.17,5.96
2005,3.86,29.34,5.26,9.12,1.72,14.8,10.99,6.07
2006,3.75,31.25,5.76,9.08,1.78,14.68,10.86,6.16
2007,3.75,31.04,6.2,8.97,1.88,14.24,10.53,6.23
2008,3.74,29.04,6.38,8.73,1.93,14.12,10.12,6.27
2009,3.6,29.22,6.8,8.09,2.03,13.33,9.16,6.13
2010,3.63,27.29,7.38,8.26,2.09,13.13,9.3,6.33
2011,3.79,28.86,7.71,7.43,2.09,14.3,8.55,6.43
2012,3.75,28.29,7.91,7.28,2.18,14.74,8.83,6.45
2013,3.71,24.01,8.21,7.09,2.2,14.53,8.48,6.44
2014,3.65,24.12,8.18,6.74,2.31,14.4,7.78,6.45
2015,3.58,23.79,8.13,6.85,2.29,14.1,7.48,6.36
2016,3.59,23.87,8.13,7.61,2.32,14.81,7.08,6.34
2017,3.52,25.33,8.23,7.63,2.39,14.84,6.82,6.35
2018,3.45,24.79,8.4,7.46,2.47,14.43,6.64,6.4
